id,Year of Realease,Movie Rating,Duration,Worldwide LT Gross,Votes,Movie Title
82,2015,8.2,95,"$858,848,019 ","706,883",Inside Out
83,2018,6.6,112,"$856,085,151 ","480,550",Venom
84,2017,7.9,130,"$853,983,879 ","742,843",Thor: Ragnarok
85,2010,8.8,148,"$836,848,102 ","2,324,716",Inception
86,2009,5.9,149,"$836,303,693 ","406,957",Transformers: Revenge of the Fallen
87,2012,5.5,115,"$829,747,654 ","249,122",The Twilight Saga: Breaking Dawn - Part 2
88,2002,7.4,121,"$825,025,036 ","811,999",Spider-Man
89,2017,7.4,141,"$822,854,286 ","653,072",Wonder Woman
90,2021,7,128,"$822,009,764 ","2,163","Ni hao, Li Huanying"
91,1996,7,145,"$817,400,891 ","574,288",Independence Day
92,2016,7.2,132,"$814,044,001 ","473,418",Fantastic Beasts and Where to Find Them
93,2007,6.1,93,"$813,367,380 ","306,508",Shrek the Third
94,2017,8.4,105,"$807,817,888 ","498,683",Coco
95,2019,6.7,123,"$800,059,707 ","248,177",Jumanji: The Next Level
96,2004,7.9,142,"$797,568,607 ","628,520",Harry Potter and the Prisoner of Azkaban
97,2017,6.5,129,"$794,881,442 ","310,294",Pirates of the Caribbean: Dead Men Tell No Tales
98,1982,7.9,115,"$792,910,554 ","407,536",E.T. the Extra-Terrestrial
99,2018,7.7,147,"$791,657,398 ","331,232",Mission: Impossible - Fallout
100,2009,5.8,158,$166 ,"377,606",2012
